Site,Sample_Date,SRP_ug.L,NO3_ug.L,Canopy_Cover_per,Lat_Long,Slurry_Volume_mL,Cobble_SA_cm2,Slurry_AFDM_g,Slurry_Chla_mg,Temp,pH,DO_mg.L,Conductivity_uS.cm,State,EcoRegion,Discharge_L.s,MidPoint_Velocity_m.s
Cap Fork North Sylamore Creek,1-Aug-19,9.7,25.6,60,"36.01831941409226, -92.2515323560381",390,950,1.1388,0.541,23.79,8.78,9.18,248,AR,Springfield_Plateau,13.7,0.1
Cove Creek,5-Aug-19,7.4,367.5,34.7,"35.70117803375184, -93.8362206950113",290,1312,0.657333333,0.258,26.4,7.94,8.34,84,AR,Boston_Mountains,8.7,0.06
Diles Creek,31-Aug-19,5.9,324.8,92.3,"36.453992,-91.183338",720,1196,2.92,0.654,25.7,8.08,8.5,430,AR,Springfield_Plateau,49.7,0.08
East Livingstone Creek,1-Aug-19,6.8,68.4,45.1,"35.99504257987518, -92.1222211645147",390,1124,2.60325,0.572,25,NA,NA,NA,AR,Springfield_Plateau,8.3,0.14
Hurricane Creek,3-Aug-19,7.2,196.6,44,"35.699393261351936, -93.24437478628576",250,1027,1.078571429,0.4005,26.2,8.78,8.28,48,AR,Boston_Mountains,132.9,0.47
Lewis Prong Panther Creek,4-Aug-19,8.4,111.1,34.7,"35.722200737836616, -93.51254320440228",370,1039,0.5254,0.415,24.6,6.72,7.86,23,AR,Boston_Mountains,86.9,0.31
Lick Branch Little Mulberry River,5-Aug-19,8.3,153.8,67.9,"35.70973036828683, -93.66113910920193",300,1056,0.62,0.356,21.9,7.82,7.83,39,AR,Boston_Mountains,4.6,0.08
Little Piney,3-Aug-19,10.6,25.6,28.4,"35.649248542128724, -93.3465293909319",390,939,0.84825,0.416,22.61,6.07,6.02,24,AR,Boston_Mountains,9.28,0.09
Mill Creek,31-Aug-19,6.1,453,37.9,"36.500356,-91.218754",350,653,1.501,1.196,26.1,8.02,8.6,408,MO,Springfield_Plateau,917,0.21
Mulberry River,4-Aug-19,8.4,5,54.8,"35.688254121491525, -93.44995997934139",360,1519,1.1952,0.846,21.6,6.77,8.35,18,AR,Boston_Mountains,10.46,0.7
North Sylamore,1-Aug-19,8.4,68.4,22.5,"36.019699141520185, -92.25059490820905",390,1412,1.5132,0.312,23.6,8.6,10.34,248,AR,Springfield_Plateau,350,NA
Perry,31-Jul-19,7.7,68.4,51.3,"36.18335136188263, -92.38135372536217",310,1069,1.63525,1.035,26.3,NA,NA,NA,AR,Springfield_Plateau,46.8,0.18
Roasting Ear Creek,2-Aug-19,7.9,239.3,1,"35.95118053156019, -92.28777778037545",470,928,1.890444444,2.37,20.2,7.85,7.23,289,AR,Springfield_Plateau,190,0.1
Spring Creek,2-Aug-19,7.2,25.6,96,"36.04519944804692, -92.43342848020193",220,909,0.842285714,0.772,24.4,8.47,8.55,301,AR,Springfield_Plateau,0.4,0.1
