Basis,FA,Overall R2,Overall P,LNH P,LNH R2p,Ecoregion R2p,?-Ecoregion,?-Canopy Cover,?-NO3
Areal,LSAFA,0.58,0.01,0.01,0.48,0.18,0.38,0.0006,0.0022
,Tot_FA,0.47,0.03,0.03,0.38,0.20,46.87,-0.9519,0.1612
,DHA,0.69,0.00,0.02,0.29,0.45,0.09,-0.0004,0.0002
,ARA,0.51,0.02,0.12,0.20,0.41,0.82,-0.0027,0.0020
,EPA,0.48,0.02,0.16,0.16,0.44,4.56,-0.0439,0.0057
,sum_PUFA,0.54,0.01,0.16,0.13,0.52,10.99,-0.0947,0.0103
Percent,LSAFA,0.40,0.04,0.03,0.53,0.02,0.13,0.0110,0.0015
,w3_w6,0.41,0.04,0.08,0.28,0.29,0.42,-0.0083,0.0003
,ARA,0.48,0.02,0.12,0.26,0.32,0.61,0.0078,0.0014
,DHA,0.33,0.08,0.17,0.25,0.21,0.08,0.0009,0.0003
,EPA,0.29,0.10,0.76,0.03,0.43,3.76,-0.0133,0.0024
,per_PUFA,0.42,0.04,0.95,0.01,0.53,8.30,0.0077,0.0027
